site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
BlissSP,bliss4,prefire,2019,[<20],LIVE,0.181458391671346,1,15.2,4.8,4.04686,0.734336706919105
BlissSP,bliss4,prefire,2019,[20-40],DEAD,1.3377294218067,2,28.65,5.95,8.09372,5.41360368793268
BlissSP,bliss4,prefire,2019,[20-40],LIVE,0.870920169409796,1,33.3,15,4.04686,3.52449199677773
BlissSP,bliss4,prefire,2019,[40-60],LIVE,3.80369115931548,2,49.05,16.15,8.09372,15.3930056049874
BlissSP,bliss4,prefire,2019,[60-80],DEAD,4.28922430392778,1,73.9,17,4.04686,17.3578902665932
BlissSP,bliss5,prefire,2019,[20-40],LIVE,1.44828992126816,2,30.1,13,8.09372,5.86102655078328
BlissSP,bliss5,prefire,2019,[40-60],LIVE,8.5128285913037,4,51.825,22.05,16.18744,34.4502255130033
BlissSP,bliss5,prefire,2019,[60-80],LIVE,2.93205627757699,1,61.1,23.8,4.04686,11.8656212674752
BlissSP,bliss5,prefire,2019,[80-100],LIVE,5.06431804342145,1,80.3,27,4.04686,20.4945861172005
BlissSP,bliss6,prefire,2019,[<20],LIVE,0.160606070433144,1,14.3,5,4.04686,0.649950282193074
BlissSP,bliss6,prefire,2019,[>100],DEAD,10.9173564844715,1,117.9,2.5,4.04686,44.1810132627484
BlissSP,bliss6,prefire,2019,[20-40],LIVE,2.17641096010444,3,29.9166666666667,10.6666666666667,12.14058,8.80763045800827
BlissSP,bliss6,prefire,2019,[40-60],LIVE,2.35428008216906,1,54.75,25.5,4.04686,9.5274418933267
BlissSP,bliss6,prefire,2019,[60-80],LIVE,7.36433496648139,2,68.375,25,8.09372,29.8024326024549
BlissSP,bliss7,prefire,2019,[<20],DEAD,0.819555129523603,4,15.525,5.5,16.18744,3.31662487146389
BlissSP,bliss7,prefire,2019,[<20],LIVE,0.80816685615434,4,15.725,11.25,16.18744,3.27053812349675
BlissSP,bliss7,prefire,2019,[20-40],DEAD,0.426384808926841,1,23.3,2.1,4.04686,1.72551962785367
BlissSP,bliss7,prefire,2019,[20-40],LIVE,15.5808151592766,20,31.195,15.525,80.9372,63.0533776354699
BlissSP,bliss7,prefire,2019,[40-60],DEAD,1.33316625847737,1,41.2,19,4.04686,5.39513720478171
BlissSP,bliss7,prefire,2019,[40-60],LIVE,12.702951354974,8,44.875,19.125,32.37488,51.40706572039
BlissSP,bliss8,prefire,2019,[20-40],DEAD,1.11627855565516,1,37.7,8,4.04686,4.51742303573864
BlissSP,bliss8,prefire,2019,[20-40],LIVE,2.62965442272407,3,33.4,16.3,12.14058,10.6418432971451
BlissSP,bliss8,prefire,2019,[40-60],DEAD,2.55175863287831,1,57,14,4.04686,10.3266099410499
BlissSP,bliss8,prefire,2019,[40-60],LIVE,3.20733047986616,2,45.1,13.7,8.09372,12.9796174257512
BlissSP,bliss8,prefire,2019,[60-80],LIVE,2.84631436007889,1,60.2,24,4.04686,11.5186357312289
BlissSP,bliss9,prefire,2019,[20-40],DEAD,1.55441292110643,2,31.4,2.25,8.09372,6.29049147390875
BlissSP,bliss9,prefire,2019,[20-40],LIVE,3.15921698837643,4,31.6,10.75,16.18744,12.784908861581
BlissSP,bliss9,prefire,2019,[40-60],LIVE,1.49986701865847,1,43.7,17.1,4.04686,6.06975184312823
